tanggal,source_id,provider,target_jam,source_datetime,suhu_C,RH_%,rain_mm,wind_kmh,gap_minutes,point_weight,kategori,raw_condition
30-07-2026,BMKG,BMKG,00:00,2026-07-30 01:00:00,22.0,97.0,,0.9,60.0,0.91,Berawan,Udara Kabur
30-07-2026,BMKG,BMKG,01:00,2026-07-30 01:00:00,22.0,97.0,,0.9,0.0,1.2133,Berawan,Udara Kabur
30-07-2026,BMKG,BMKG,02:00,2026-07-30 01:00:00,22.0,97.0,,0.9,60.0,0.91,Berawan,Udara Kabur
30-07-2026,BMKG,BMKG,03:00,2026-07-30 04:00:00,21.0,97.0,,3.0,60.0,0.91,Berawan,Udara Kabur
30-07-2026,BMKG,BMKG,04:00,2026-07-30 04:00:00,21.0,97.0,,3.0,0.0,1.2133,Berawan,Udara Kabur
30-07-2026,BMKG,BMKG,05:00,2026-07-30 04:00:00,21.0,97.0,,3.0,60.0,0.91,Berawan,Udara Kabur
30-07-2026,BMKG,BMKG,06:00,2026-07-30 07:00:00,24.0,90.0,,4.7,60.0,0.91,Cerah,Cerah
30-07-2026,BMKG,BMKG,07:00,2026-07-30 07:00:00,24.0,90.0,,4.7,0.0,1.2133,Cerah,Cerah
30-07-2026,BMKG,BMKG,08:00,2026-07-30 07:00:00,24.0,90.0,,4.7,60.0,0.91,Cerah,Cerah
30-07-2026,BMKG,BMKG,09:00,2026-07-30 10:00:00,28.0,68.0,,6.0,60.0,0.91,Cerah,Cerah
30-07-2026,BMKG,BMKG,10:00,2026-07-30 10:00:00,28.0,68.0,,6.0,0.0,1.2133,Cerah,Cerah
30-07-2026,BMKG,BMKG,11:00,2026-07-30 10:00:00,28.0,68.0,,6.0,60.0,0.91,Cerah,Cerah
30-07-2026,BMKG,BMKG,12:00,2026-07-30 13:00:00,27.0,79.0,,9.5,60.0,0.91,Hujan Ringan,Hujan Ringan
30-07-2026,BMKG,BMKG,13:00,2026-07-30 13:00:00,27.0,79.0,,9.5,0.0,1.2133,Hujan Ringan,Hujan Ringan
30-07-2026,BMKG,BMKG,14:00,2026-07-30 13:00:00,27.0,79.0,,9.5,60.0,0.91,Hujan Ringan,Hujan Ringan
30-07-2026,BMKG,BMKG,15:00,2026-07-30 16:00:00,24.0,94.0,,2.8,60.0,0.91,Berawan,Berawan
30-07-2026,BMKG,BMKG,16:00,2026-07-30 16:00:00,24.0,94.0,,2.8,0.0,1.2133,Berawan,Berawan
30-07-2026,BMKG,BMKG,17:00,2026-07-30 16:00:00,24.0,94.0,,2.8,60.0,0.91,Berawan,Berawan
30-07-2026,BMKG,BMKG,18:00,2026-07-30 19:00:00,22.0,96.0,,2.9,60.0,0.91,Cerah Berawan,Cerah Berawan
30-07-2026,BMKG,BMKG,19:00,2026-07-30 19:00:00,22.0,96.0,,2.9,0.0,1.2133,Cerah Berawan,Cerah Berawan
30-07-2026,BMKG,BMKG,20:00,2026-07-30 19:00:00,22.0,96.0,,2.9,60.0,0.91,Cerah Berawan,Cerah Berawan
30-07-2026,BMKG,BMKG,21:00,2026-07-30 22:00:00,22.0,95.0,,2.0,60.0,0.91,Cerah Berawan,Cerah Berawan
30-07-2026,BMKG,BMKG,22:00,2026-07-30 22:00:00,22.0,95.0,,2.0,0.0,1.2133,Cerah Berawan,Cerah Berawan
30-07-2026,BMKG,BMKG,23:00,2026-07-30 22:00:00,22.0,95.0,,2.0,60.0,0.91,Cerah Berawan,Cerah Berawan
30-07-2026,CMA,Open-Meteo / CMA GRAPES,00:00,2026-07-30 00:00:00,19.4,99.0,0.0,3.2,0.0,1.0,Berawan,wmo:45
30-07-2026,CMA,Open-Meteo / CMA GRAPES,01:00,2026-07-30 01:00:00,19.4,100,0.0,3.2,0.0,1.0,Berawan,wmo:45
30-07-2026,CMA,Open-Meteo / CMA GRAPES,02:00,2026-07-30 02:00:00,19.0,100,0.0,3.2,0.0,1.0,Berawan,wmo:45
30-07-2026,CMA,Open-Meteo / CMA GRAPES,03:00,2026-07-30 03:00:00,18.5,99.0,0.0,2.9,0.0,1.0,Berawan,wmo:45
30-07-2026,CMA,Open-Meteo / CMA GRAPES,04:00,2026-07-30 04:00:00,18.4,98.0,0.0,3.0,0.0,1.0,Cerah,wmo:0
30-07-2026,CMA,Open-Meteo / CMA GRAPES,05:00,2026-07-30 05:00:00,18.6,99.0,0.0,3.1,0.0,1.0,Cerah,wmo:0
30-07-2026,CMA,Open-Meteo / CMA GRAPES,06:00,2026-07-30 06:00:00,19.1,99.0,0.0,3.1,0.0,1.0,Berawan,wmo:45
30-07-2026,CMA,Open-Meteo / CMA GRAPES,07:00,2026-07-30 07:00:00,20.0,97.0,0.0,3.4,0.0,1.0,Berawan,wmo:45
30-07-2026,CMA,Open-Meteo / CMA GRAPES,08:00,2026-07-30 08:00:00,21.6,89.0,0.0,4.7,0.0,1.0,Cerah,wmo:0
30-07-2026,CMA,Open-Meteo / CMA GRAPES,09:00,2026-07-30 09:00:00,23.6,78.0,0.0,6.6,0.0,1.0,Cerah,wmo:0
30-07-2026,CMA,Open-Meteo / CMA GRAPES,10:00,2026-07-30 10:00:00,25.2,70.0,0.0,8.2,0.0,1.0,Cerah,wmo:0
30-07-2026,CMA,Open-Meteo / CMA GRAPES,11:00,2026-07-30 11:00:00,26.0,67.0,0.0,9.1,0.0,1.0,Cerah,wmo:0
30-07-2026,CMA,Open-Meteo / CMA GRAPES,12:00,2026-07-30 12:00:00,26.4,66.0,0.0,9.7,0.0,1.0,Cerah,wmo:0
30-07-2026,CMA,Open-Meteo / CMA GRAPES,13:00,2026-07-30 13:00:00,26.3,69.0,0.0,9.4,0.0,1.0,Cerah,wmo:0
30-07-2026,CMA,Open-Meteo / CMA GRAPES,14:00,2026-07-30 14:00:00,25.6,76.0,0.4,8.6,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,CMA,Open-Meteo / CMA GRAPES,15:00,2026-07-30 15:00:00,24.5,87.0,0.4,7.0,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,CMA,Open-Meteo / CMA GRAPES,16:00,2026-07-30 16:00:00,23.4,95.0,0.4,5.6,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,CMA,Open-Meteo / CMA GRAPES,17:00,2026-07-30 17:00:00,22.5,98.0,0.0,5.1,0.0,1.0,Cerah Berawan,wmo:1
30-07-2026,CMA,Open-Meteo / CMA GRAPES,18:00,2026-07-30 18:00:00,21.6,99.0,0.0,4.8,0.0,1.0,Cerah Berawan,wmo:1
30-07-2026,CMA,Open-Meteo / CMA GRAPES,19:00,2026-07-30 19:00:00,20.9,99.0,0.0,4.7,0.0,1.0,Berawan,wmo:45
30-07-2026,CMA,Open-Meteo / CMA GRAPES,20:00,2026-07-30 20:00:00,20.4,99.0,0.0,4.5,0.0,1.0,Berawan,wmo:45
30-07-2026,CMA,Open-Meteo / CMA GRAPES,21:00,2026-07-30 21:00:00,20.1,98.0,0.0,4.3,0.0,1.0,Cerah,wmo:0
30-07-2026,CMA,Open-Meteo / CMA GRAPES,22:00,2026-07-30 22:00:00,19.9,98.0,0.0,4.0,0.0,1.0,Cerah,wmo:0
30-07-2026,CMA,Open-Meteo / CMA GRAPES,23:00,2026-07-30 23:00:00,19.7,98.0,0.0,3.7,0.0,1.0,Cerah,wmo:0
30-07-2026,ECMWF,Open-Meteo / ECMWF,00:00,2026-07-30 00:00:00,20.6,95.0,0.0,0.7,0.0,1.0,Berawan,wmo:3
30-07-2026,ECMWF,Open-Meteo / ECMWF,01:00,2026-07-30 01:00:00,20.6,95.0,0.0,0.4,0.0,1.0,Berawan,wmo:3
30-07-2026,ECMWF,Open-Meteo / ECMWF,02:00,2026-07-30 02:00:00,20.5,95.0,2.1,0.7,0.0,1.0,Hujan Ringan,wmo:61
30-07-2026,ECMWF,Open-Meteo / ECMWF,03:00,2026-07-30 03:00:00,20.4,96.0,2.1,1.1,0.0,1.0,Hujan Ringan,wmo:61
30-07-2026,ECMWF,Open-Meteo / ECMWF,04:00,2026-07-30 04:00:00,20.3,97.0,2.1,1.6,0.0,1.0,Hujan Ringan,wmo:61
30-07-2026,ECMWF,Open-Meteo / ECMWF,05:00,2026-07-30 05:00:00,20.3,98.0,0.0,1.9,0.0,1.0,Cerah Berawan,wmo:2
30-07-2026,ECMWF,Open-Meteo / ECMWF,06:00,2026-07-30 06:00:00,20.3,98.0,0.0,2.4,0.0,1.0,Cerah Berawan,wmo:1
30-07-2026,ECMWF,Open-Meteo / ECMWF,07:00,2026-07-30 07:00:00,20.7,96.0,0.0,2.8,0.0,1.0,Cerah,wmo:0
30-07-2026,ECMWF,Open-Meteo / ECMWF,08:00,2026-07-30 08:00:00,21.8,90.0,0.0,3.8,0.0,1.0,Cerah Berawan,wmo:1
30-07-2026,ECMWF,Open-Meteo / ECMWF,09:00,2026-07-30 09:00:00,23.4,82.0,0.0,6.5,0.0,1.0,Cerah Berawan,wmo:2
30-07-2026,ECMWF,Open-Meteo / ECMWF,10:00,2026-07-30 10:00:00,24.8,76.0,0.0,8.3,0.0,1.0,Berawan,wmo:3
30-07-2026,ECMWF,Open-Meteo / ECMWF,11:00,2026-07-30 11:00:00,25.9,72.0,0.1,9.0,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,ECMWF,Open-Meteo / ECMWF,12:00,2026-07-30 12:00:00,26.7,69.0,0.1,8.9,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,ECMWF,Open-Meteo / ECMWF,13:00,2026-07-30 13:00:00,27.0,69.0,0.1,8.4,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,ECMWF,Open-Meteo / ECMWF,14:00,2026-07-30 14:00:00,26.2,74.0,0.6,7.1,0.0,1.0,Hujan Ringan,wmo:53
30-07-2026,ECMWF,Open-Meteo / ECMWF,15:00,2026-07-30 15:00:00,24.7,81.0,0.6,5.5,0.0,1.0,Hujan Ringan,wmo:53
30-07-2026,ECMWF,Open-Meteo / ECMWF,16:00,2026-07-30 16:00:00,23.4,88.0,0.6,4.3,0.0,1.0,Hujan Ringan,wmo:53
30-07-2026,ECMWF,Open-Meteo / ECMWF,17:00,2026-07-30 17:00:00,22.6,93.0,0.1,3.3,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,ECMWF,Open-Meteo / ECMWF,18:00,2026-07-30 18:00:00,21.9,96.0,0.1,1.9,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,ECMWF,Open-Meteo / ECMWF,19:00,2026-07-30 19:00:00,21.4,99.0,0.1,1.3,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,ECMWF,Open-Meteo / ECMWF,20:00,2026-07-30 20:00:00,21.1,100,0.0,1.5,0.0,1.0,Berawan,wmo:3
30-07-2026,ECMWF,Open-Meteo / ECMWF,21:00,2026-07-30 21:00:00,20.8,99.0,0.0,1.5,0.0,1.0,Berawan,wmo:3
30-07-2026,ECMWF,Open-Meteo / ECMWF,22:00,2026-07-30 22:00:00,20.7,99.0,0.0,1.6,0.0,1.0,Berawan,wmo:3
30-07-2026,ECMWF,Open-Meteo / ECMWF,23:00,2026-07-30 23:00:00,20.6,99.0,0.0,1.5,0.0,1.0,Berawan,wmo:3
30-07-2026,GFS,Open-Meteo / NOAA GFS,00:00,2026-07-30 00:00:00,19.0,97.0,0.0,4.3,0.0,1.0,Berawan,wmo:3
30-07-2026,GFS,Open-Meteo / NOAA GFS,01:00,2026-07-30 01:00:00,18.9,97.0,0.0,3.6,0.0,1.0,Berawan,wmo:3
30-07-2026,GFS,Open-Meteo / NOAA GFS,02:00,2026-07-30 02:00:00,18.8,97.0,0.0,3.4,0.0,1.0,Cerah Berawan,wmo:2
30-07-2026,GFS,Open-Meteo / NOAA GFS,03:00,2026-07-30 03:00:00,18.6,97.0,0.0,2.8,0.0,1.0,Cerah Berawan,wmo:2
30-07-2026,GFS,Open-Meteo / NOAA GFS,04:00,2026-07-30 04:00:00,18.5,97.0,0.0,3.1,0.0,1.0,Cerah,wmo:0
30-07-2026,GFS,Open-Meteo / NOAA GFS,05:00,2026-07-30 05:00:00,18.4,96.0,0.0,2.9,0.0,1.0,Cerah Berawan,wmo:2
30-07-2026,GFS,Open-Meteo / NOAA GFS,06:00,2026-07-30 06:00:00,18.2,96.0,0.0,3.4,0.0,1.0,Cerah,wmo:0
30-07-2026,GFS,Open-Meteo / NOAA GFS,07:00,2026-07-30 07:00:00,19.4,92.0,0.0,2.7,0.0,1.0,Cerah Berawan,wmo:1
30-07-2026,GFS,Open-Meteo / NOAA GFS,08:00,2026-07-30 08:00:00,21.8,83.0,0.0,1.6,0.0,1.0,Cerah,wmo:0
30-07-2026,GFS,Open-Meteo / NOAA GFS,09:00,2026-07-30 09:00:00,24.6,66.0,0.0,4.2,0.0,1.0,Cerah,wmo:0
30-07-2026,GFS,Open-Meteo / NOAA GFS,10:00,2026-07-30 10:00:00,26.9,54.0,0.0,6.5,0.0,1.0,Cerah Berawan,wmo:2
30-07-2026,GFS,Open-Meteo / NOAA GFS,11:00,2026-07-30 11:00:00,28.2,50.0,0.0,7.4,0.0,1.0,Cerah,wmo:0
30-07-2026,GFS,Open-Meteo / NOAA GFS,12:00,2026-07-30 12:00:00,28.9,49.0,0.0,9.2,0.0,1.0,Cerah Berawan,wmo:1
30-07-2026,GFS,Open-Meteo / NOAA GFS,13:00,2026-07-30 13:00:00,28.1,53.0,0.0,9.7,0.0,1.0,Berawan,wmo:3
30-07-2026,GFS,Open-Meteo / NOAA GFS,14:00,2026-07-30 14:00:00,26.4,62.0,0.1,7.0,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,GFS,Open-Meteo / NOAA GFS,15:00,2026-07-30 15:00:00,24.8,73.0,0.5,5.4,0.0,1.0,Hujan Ringan,wmo:53
30-07-2026,GFS,Open-Meteo / NOAA GFS,16:00,2026-07-30 16:00:00,24.7,77.0,0.4,4.0,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,GFS,Open-Meteo / NOAA GFS,17:00,2026-07-30 17:00:00,23.9,82.0,0.6,3.2,0.0,1.0,Hujan Ringan,wmo:53
30-07-2026,GFS,Open-Meteo / NOAA GFS,18:00,2026-07-30 18:00:00,21.7,89.0,0.2,2.9,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,GFS,Open-Meteo / NOAA GFS,19:00,2026-07-30 19:00:00,21.2,92.0,0.3,3.3,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,GFS,Open-Meteo / NOAA GFS,20:00,2026-07-30 20:00:00,21.1,94.0,0.4,2.6,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,GFS,Open-Meteo / NOAA GFS,21:00,2026-07-30 21:00:00,20.7,95.0,0.1,1.9,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,GFS,Open-Meteo / NOAA GFS,22:00,2026-07-30 22:00:00,20.4,97.0,0.0,1.4,0.0,1.0,Cerah Berawan,wmo:2
30-07-2026,GFS,Open-Meteo / NOAA GFS,23:00,2026-07-30 23:00:00,20.0,97.0,0.1,2.3,0.0,1.0,Hujan Ringan,wmo:51
30-07-2026,ICON,Open-Meteo / DWD ICON,00:00,2026-07-30 00:00:00,20.4,96.0,0.0,1.4,0.0,1.0,Berawan,wmo:3
30-07-2026,ICON,Open-Meteo / DWD ICON,01:00,2026-07-30 01:00:00,20.1,97.0,0.0,0.7,0.0,1.0,Berawan,wmo:45
